4330	nen á vist bolest vztek smutek zmatek osam ě lost beznad ě j nakonec jen klid Asi takhle vypad á ů j life	1
41616	Haan yaar neha 😔😔 kab karega woh post 😭 Usne na sach mein photoshoot karna chahiye phir woh post karega	1
6648	television media congress ke liye nhi h Ye toh aapko pata chal hi gya hoga Achha hoga ki Congress ke	0
2512	All India nrc lagu kare w Kashmir se dhara 370ko khatam kare ham Indian ko apse yahi umid hai	2
610	Pagal hai kya They real issues Mandir important Hindu khatre mei jo hai	1
14356	jeet ki dher sari subh kamnaye modi ji asha karta hu jistarah desh ki janta ne khas kar Bihar ki jant	2
5840	topi walay babu ki tau new job hougi humey chutti kesay milay gi 😭😭😭😭	0
32791	Ye modi media walon ko bhi maza ata hai hindu Muslim ke debate karne	1
37480	Baih tere itjey Kya jalti hai Pakistan se chutiye khelne de na unhe bc tu Indian bhi nahi h	0
16395	Hehe I saw coming And actually someone shaadi 🤩	1
33428	Can answer miscalculated votes seat One vote matters deshkamahatyohar hai aur apne dhji	1
19222	Allah pak os k Dil ka darwaza kbi nai krta jo sb k lyhe ache ehsas aor Dua Dil rkhta ho Aajzi	1
8422	Bahut hi Samajhdari se Cingress ne ye Faisla liya hai Aur ummeed karta hoon k Desh ke sabhi Party	1
26930	Tu Safar Mera Tu Hi Meri Manzil Tere Bina Guzara Aye DiL Hai Mushkil 💘🙈 I LOVE U ❤	2
40285	Dobar se PM bnne ki aapko dher sari shubhakamnyen ummid hi aapke isa karykala desh bhut si nyi uplbadhiyon k	2
21403	We face life together spend money us still MY money	2
35826	waah kisi ne khub likha ke shama khud ko jala ke jaha ko roshan kardeta hai fir kiya tha apne aapne aap ko ba	2
18017	tani Abe haattt tum flop logo ki aukaad hi Kiya h chutiya log ja aapijaan ki chaplusi kar bad	0
39736	star77 Ohho Very beautiful eyes yarrrrr	2
15893	EVRYONE SHIT THE FUCK UP	0
5433	haram khor log ulta chor kotowal ko dantey Mulk torney ki bat kerney waley ko phulon ke har pehn	0
23492	army Fin Also Stade de France preparing concert Looks beautiful ! 😍 See post Instagram 👇🏼	2
13515	Jai shree ram Jarurat nahi aandolan ki Guruji Modi h Mumkinn h Pls trust PM	2
34678	Phir se lut chalu ho gaya Bjp walo tumhe kuch chut mil raha hai ya nahi Milna chahiye q ki	1
11310	Jinko khud Nahi pta ki RamcharitManas kya hai wo bhej rahe h BJP neta ko phle khud samjhna Chahiye f	1
27883	Abe yhi hai ram rajya kya Jisme sbhi sale harami ho Jo sale itne berahm se maar rhe ho Modi dekhna sale tere	0
16679	hs Maybe I 'll faing I wo n't feel thing	1
26920	Duniya dil koi kabhi na dadka hota Dadkha hai dil yar mil ye pyar ka izhar hai Kaho na pyar hai Do premi p	1
